,RoseSmallS1R04,RoseSmallS1R01,RoseSmallS1R06,RoseSmallS1R07,RoseSmallS1R08,RoseSmallS1R05,RoseSmallS1R10,RoseSmallS1R03,RoseSmallS1R09,RoseSmallS1R02
1-SPFP,0.254420567514,0.0761648874784,0.34328232071,0.0777636796767,0.0754778230242,0.191111346916,0.0388616902287,0.0721492577529,0.0949883834275,0.0756247165288
1-SPFN,0.241743676472,0.0707760261669,0.327600344114,0.0723269911609,0.0703501369955,0.181625353798,0.035835300324,0.0666556779268,0.0869117671713,0.0706016379284
SP-Score,0.248082121993,0.0734704568226,0.335441332412,0.0750453354188,0.0729139800099,0.186368350357,0.0373484952763,0.0694024678398,0.0909500752994,0.0731131772286
TC,0.04975609756097561,0.00676328502415459,0.04625984251968504,0.0019801980198019802,0.010607521697203472,0.031496062992125984,0.003972194637537239,0.0,0.037109375,0.0058309037900874635
Modeler,0.25442056751364045,0.07616488747836123,0.34328232071046755,0.07776367967668354,0.07547782302423471,0.1911113469156763,0.03886169022865211,0.07214925775290472,0.09498838342751185,0.07562471652880068
Compression,1.3194321206743567,1.3564981949458483,1.3075539568345325,1.4036199095022623,1.3336259877085161,1.302893309222423,1.4225865209471766,1.463436928702011,1.562956204379562,1.3458781362007168
Average Pairwise P-Distance,0.691409900916,0.689072400044,0.681463765468,0.691980376963,0.69908994381,0.690398464325,0.701618126912,0.695136187508,0.690795764477,0.689124496217
Maximum Pairwise P-Distance,0.741116751269,0.744744744745,0.740181268882,0.738647830474,0.74297188755,0.746208291203,0.741573033708,0.743434343434,0.731658291457,0.736040609137
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1127,1108,1112,1105,1139,1106,1098,1094,1096,1116
Estimated Length,1487,1503,1454,1551,1519,1441,1562,1601,1713,1502
Maximum Ungapped Length,1017,1014,1012,1011,1012,1008,1006,1012,1018,1017
Sequence Length Heterogeneity,0.00527347693903,0.00474915468148,0.00526982890635,0.00535095374259,0.00475521555144,0.00375767609933,0.00490518246443,0.00465509681522,0.00546264757821,0.00658330794053
Gappiness Percentage,0.108535936114,0.0936462093863,0.0997482014388,0.094334841629,0.118770851624,0.0944665461121,0.092349726776,0.0859232175503,0.0851094890511,0.101684587814
Average Gap Length,2.31842304776,2.02973395931,2.12490421456,2.08313349321,2.24270557029,2.49236641221,1.84901531729,2.01371036847,2.13944954128,2.16070068545
Median Gap Length,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
